,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
192,139363675,390m,2,946340045,8,8.73,0.00,23.22
193,139363675,390m,3,1247550013,2,8.91,0.18,23.24
194,139363675,390m,4,766410117,6,8.94,0.21,23.32
195,139363675,390m,5,723790000,7,8.95,0.22,23.40
196,139363675,390m,6,856390107,5,9.23,0.50,23.56
197,139363675,390m,7,763790048,4,9.30,0.57,23.99
198,139363675,390m,8,962780021,1,9.35,0.62,24.01
199,139363680,450m,1,673190037,1,6.91,0.10,26.29
200,139363680,450m,2,352830006,6,6.81,0.00,26.60
201,139363680,450m,3,588630001,2,6.85,0.04,26.65
202,139363680,450m,4,688090020,7,6.88,0.07,26.66
203,139363680,450m,5,169590002,5,6.96,0.15,26.74
204,139363680,450m,6,743640010,8,6.85,0.04,26.91
205,139363680,450m,7,744220059,4,6.86,0.05,27.04
206,139363679,450m,1,578460012,7,7.03,0.07,25.95
207,139363679,450m,2,831890048,8,7.07,0.11,26.16
208,139363679,450m,3,732900007,6,6.96,0.00,26.44
209,139363679,450m,4,768040009,4,7.07,0.11,26.47
210,139363679,450m,5,1184050041,3,7.32,0.36,26.72
211,139363679,450m,6,888610009,1,7.28,0.32,26.76
212,139363679,450m,7,896030004,5,7.31,0.35,26.94
213,139363679,450m,8,169590001,2,7.39,0.43,26.96
214,139363681,450m,1,954250004,4,7.09,0.18,26.36
215,139363681,450m,2,224910007,1,7.02,0.11,26.37
216,139363681,450m,3,855980035,2,7.09,0.18,26.51
217,139363681,450m,4,960930004,7,6.91,0.00,26.54
218,139363681,450m,5,743640020,3,7.09,0.18,26.62
219,139363681,450m,6,820860012,8,7.09,0.18,26.64
220,139363681,450m,7,1074990010,6,7.05,0.14,26.72
221,139363678,450m,1,940060039,8,6.77,0.01,25.92
222,139363678,450m,2,771030057,5,6.94,0.18,26.10
223,139363678,450m,3,1028790009,3,6.82,0.06,26.38
224,139363678,450m,4,-751665,6,6.98,0.22,26.45
225,139363678,450m,5,833710001,1,6.94,0.18,26.47
226,139363678,450m,6,820860010,2,6.76,0.00,26.52
227,139363678,450m,7,-748642,7,6.99,0.23,26.65
228,139363678,450m,8,825780011,4,6.99,0.23,27.32
229,139363674,390m,1,878490023,2,8.65,0.00,22.87
230,139363674,390m,2,968060018,7,8.88,0.23,23.07
231,139363674,390m,3,618440029,4,8.67,0.02,23.20
232,139363674,390m,4,820830182,8,8.90,0.25,23.22
233,139363674,390m,5,275790144,1,8.74,0.09,23.26
234,139363674,390m,6,-751717,3,8.74,0.09,23.41
235,139363674,390m,7,960960026,6,8.77,0.12,23.46
